,annotations,posts_in_topic,char_count,reply_count,reads,readers_count,incoming_link_count,quote_count,score
4942,0,18,161.0,1,11,10,1,0,27.2
4943,0,18,277.0,1,10,9,1,0,12.0
4944,0,18,840.0,0,8,7,1,0,6.6
4945,0,18,62.0,1,6,5,1,0,56.2
4946,0,18,622.0,1,6,5,1,0,11.2
4947,0,18,1596.0,1,6,5,1,0,56.2
4948,0,18,365.0,0,6,5,1,0,51.2
4949,0,18,300.0,0,6,5,1,0,96.2
4950,9,4,8866.0,0,13,12,18,0,167.4
4951,2,4,555.0,0,10,9,0,0,1.8
4952,1,4,426.0,1,10,9,0,0,7.0
4953,2,4,1071.0,0,8,7,1,0,96.6
4954,1,1,1389.0,0,3,2,3,0,15.6
4955,0,1,7330.0,0,4,3,4,0,20.8
4956,0,1,5915.0,0,2,1,2,0,10.4
4957,0,1,2063.0,0,4,3,2,0,10.8
4958,0,1,6.0,0,2,1,2,0,10.4
4959,0,1,277.0,0,2,1,2,0,10.4
4960,0,1,1972.0,0,2,1,4,0,20.4
4961,0,1,880.0,0,2,1,2,0,10.4
4962,0,1,552.0,0,6,5,2,0,11.2
4963,4,1,4359.0,0,2,1,14,0,70.4
4964,2,1,2071.0,0,3,2,2,0,10.6
4965,3,1,1402.0,0,5,4,10,0,51.0
4966,3,1,1725.0,0,2,1,4,0,20.4
4967,2,1,2074.0,0,3,2,44,0,220.6
4968,4,1,2109.0,0,2,1,4,0,20.4
4969,3,1,1278.0,0,3,2,10,0,50.6
4970,0,1,2467.0,0,3,2,6,0,30.6
4971,0,1,2413.0,0,3,2,2,0,10.6
4972,0,1,5091.0,0,5,4,7,0,36.0
4973,0,1,3541.0,0,12,11,18,0,92.4
4974,11,1,3125.0,0,7,6,20,0,101.4
4975,5,1,4617.0,0,6,5,10,0,51.2
4976,0,1,4070.0,0,4,3,3,0,15.8
4977,0,1,3988.0,0,4,3,6,0,30.8
4978,0,1,4024.0,0,5,4,4,0,21.0
4979,0,1,8317.0,0,9,8,16,0,81.8
4980,0,1,28167.0,0,3,2,4,0,20.6
4981,0,6,3663.0,0,3,2,4,0,20.6
4982,0,6,666.0,0,1,0,0,0,0.2
4983,0,6,620.0,0,2,1,0,0,0.4
4984,0,6,1586.0,1,2,1,0,0,5.4
4985,0,6,418.0,0,3,2,0,0,0.6
4986,0,6,4612.0,0,3,2,1,0,5.6
4987,0,1,3328.0,0,9,8,6,0,31.8
4988,2,8,424.0,1,25,24,5,0,140.0
4989,0,8,777.0,1,24,23,0,0,9.8
4990,1,8,610.0,0,18,17,0,0,3.6
4991,0,8,198.0,0,18,17,0,0,3.6
4992,0,8,101.0,0,18,17,0,0,3.6
4993,0,8,190.0,1,17,16,0,1,8.4
4994,0,8,331.0,1,17,16,0,0,23.4
4995,0,8,573.0,0,15,14,0,0,3.0
4996,6,3,2790.0,0,16,15,7,0,53.2
4997,0,3,821.0,0,16,15,0,0,3.2
4998,0,3,201.0,0,13,12,0,0,2.6
4999,0,4,933.0,0,8,7,4,0,21.6
5000,0,4,2387.0,0,9,8,0,0,1.8
5001,0,4,1188.0,0,7,6,0,0,1.4
5002,0,4,416.0,0,7,6,2,0,11.4
5003,19,8,9551.0,0,6,5,20,0,101.2
5004,2,8,611.0,1,4,3,1,0,10.8
5005,3,8,308.0,0,4,3,1,0,5.8
5006,2,8,868.0,0,3,2,0,0,0.6
5007,2,8,780.0,1,3,2,0,0,5.6
5008,1,8,653.0,1,2,1,0,0,5.4
5009,3,8,1498.0,0,2,1,0,0,0.4
5010,9,8,1844.0,0,2,1,3,0,15.4
5011,0,17,899.0,0,5,4,3,0,16.0
5012,0,17,25.0,0,5,4,0,0,1.0
5013,0,17,98.0,1,5,4,0,0,6.0
5014,0,17,64.0,0,5,4,0,0,1.0
5015,0,17,1109.0,2,5,4,3,0,26.0
5016,0,17,630.0,0,4,3,0,0,0.8
5017,0,17,54.0,0,2,1,0,0,0.4
5018,0,17,871.0,1,3,2,0,0,5.6
5019,0,17,385.0,2,2,1,0,0,10.4
5020,0,17,386.0,1,3,2,0,0,5.6
5021,0,17,216.0,0,3,2,0,0,0.6
5022,0,17,76.0,1,3,2,0,0,5.6
5023,0,17,244.0,0,2,1,0,0,0.4
5024,0,17,626.0,0,3,2,0,0,0.6
5025,0,17,843.0,2,3,2,0,0,10.6
5026,0,17,623.0,1,3,2,0,0,5.6
5027,0,17,1352.0,0,3,2,0,0,0.6
5028,36,20,5797.0,3,30,29,105,0,743.0
5029,2,20,633.0,1,27,26,1,0,120.4
5030,3,20,674.0,0,27,26,1,0,40.4
5031,3,20,1646.0,1,23,22,3,0,69.6
5032,4,20,1583.0,1,23,22,1,1,74.6
5033,13,20,3858.0,1,21,20,3,1,84.2
5034,7,20,637.0,1,21,20,1,1,74.2
5035,0,20,95.0,0,17,16,0,0,3.4
5036,4,20,2511.0,0,19,18,0,0,18.8
5037,0,20,121.0,0,18,17,0,1,18.6
5038,0,20,51.0,1,18,17,1,0,28.6
5039,6,20,1550.0,0,19,18,1,0,53.8
5040,8,20,1898.0,1,18,17,3,0,113.6
5041,2,20,1230.0,0,18,17,1,1,23.6
5042,3,20,670.0,1,18,17,1,0,163.6
5043,2,20,500.0,1,18,17,1,0,88.6
5044,2,20,247.0,0,18,17,1,0,113.6
5045,0,20,742.0,1,13,12,1,0,72.6
5046,0,20,113.0,0,12,11,3,0,17.4
5047,0,20,311.0,0,8,7,2,0,71.6
5048,0,4,4817.0,0,27,26,19,0,115.4
5049,0,4,675.0,1,11,10,2,0,62.2
5050,0,4,467.0,1,11,10,2,0,17.2
5051,0,4,426.0,0,10,9,1,0,7.0
5052,0,1,7733.0,0,30,29,10,0,71.0
5053,30,1,8135.0,0,99,98,727,0,3791.8
5054,0,6,674.0,0,15,14,5,0,133.0
5055,0,6,164.0,0,14,13,0,0,2.8
5056,0,6,313.0,0,14,13,0,0,2.8
5057,0,6,441.0,0,12,11,0,0,17.4
5058,0,6,121.0,0,6,5,1,0,6.2
5059,0,6,1899.0,0,3,2,1,0,5.6
5060,0,1,4653.0,0,4,3,3,0,15.8
5061,0,1,73.0,0,22,21,9,0,214.4
5062,0,22,7183.0,0,7,6,77,0,446.4
5063,0,22,662.0,1,4,3,0,0,5.8
5064,0,22,3151.0,1,3,2,0,0,5.6
5065,0,22,615.0,1,4,3,0,0,5.8
5066,0,22,216.0,0,3,2,0,0,0.6
5067,0,22,1700.0,0,2,1,0,0,0.4
5068,0,22,50.0,0,3,2,0,0,0.6
5069,0,22,174.0,0,2,1,0,0,0.4
5070,0,22,734.0,1,3,2,0,0,5.6
5071,0,22,868.0,0,2,1,0,0,0.4
5072,0,22,581.0,0,2,1,0,0,0.4
5073,0,22,548.0,0,2,1,0,0,0.4
5074,0,22,820.0,1,3,2,0,0,5.6
5075,0,22,2350.0,1,2,1,1,0,10.4
5076,0,22,423.0,1,2,1,0,0,5.4
5077,0,22,28.0,1,1,0,0,0,5.2
5078,0,22,875.0,1,2,1,0,0,5.4
5079,0,22,410.0,1,1,0,0,0,5.2
5080,0,22,76.0,0,3,2,0,0,0.6
5081,0,22,7.0,0,2,1,0,0,0.4
5082,0,22,193.0,0,2,1,0,0,0.4
5083,0,22,271.0,0,2,1,7,0,35.4
5084,22,9,12234.0,1,14,13,5,0,47.8
5085,2,9,343.0,0,9,8,0,0,1.8
5086,3,9,487.0,0,8,7,0,0,1.6
5087,5,9,1292.0,0,8,7,0,0,1.6
5088,1,9,348.0,1,8,7,0,0,6.6
5089,1,9,320.0,1,8,7,0,0,6.6
5090,0,9,861.0,0,7,6,0,0,46.4
5091,0,9,516.0,1,5,4,2,1,16.0
5092,0,9,1377.0,0,4,3,1,0,50.8
5093,0,1,8660.0,0,8,7,2,0,11.6
5094,0,1,2217.0,0,5,4,3,0,16.0
5095,44,9,7276.0,0,40,39,39,0,308.0
5096,2,9,404.0,1,22,21,2,0,19.4
5097,1,9,396.0,1,22,21,1,0,14.4
5098,0,9,52.0,0,22,21,1,0,9.4
5099,5,9,469.0,2,19,18,1,0,18.8
5100,9,9,1957.0,1,19,18,3,0,23.8
5101,0,9,32.0,0,18,17,2,0,13.6
5102,1,9,248.0,0,18,17,2,0,13.6
5103,2,9,714.0,0,16,15,2,0,13.2
5104,19,14,7058.0,1,47,46,983,0,5216.4
5105,4,14,2135.0,2,35,34,3,0,122.0
5106,0,14,723.0,1,32,31,0,0,11.4
5107,1,14,254.0,1,30,29,0,0,56.0
5108,0,14,74.0,0,29,28,1,0,10.8
5109,0,14,295.0,0,28,27,1,0,10.6
5110,3,14,1067.0,0,29,28,1,0,130.8
5111,2,14,928.0,0,28,27,2,1,60.6
5112,0,14,56.0,1,28,27,1,0,60.6
5113,0,14,83.0,0,24,23,0,0,49.8
5114,0,14,29.0,0,25,24,0,0,5.0
5115,0,14,158.0,1,24,23,1,0,14.8
5116,0,14,171.0,1,24,23,1,0,14.8
5117,0,14,146.0,0,25,24,2,0,15.0
5118,0,4,2943.0,2,14,13,7,0,272.8
5119,0,4,1477.0,0,14,13,6,1,122.8
5120,0,4,2204.0,1,9,8,4,1,116.8
5121,0,4,476.0,0,9,8,1,1,51.8
5122,0,10,2158.0,0,27,26,12,0,335.4
5123,0,10,787.0,2,16,15,2,0,23.2
5124,0,10,374.0,2,16,15,5,0,38.2
5125,0,10,236.0,0,14,13,1,0,7.8
5126,0,10,192.0,1,15,14,1,0,13.0
5127,0,10,1370.0,1,14,13,1,0,57.8
5128,0,10,337.0,0,13,12,1,0,22.6
5129,5,10,2508.0,1,11,10,1,0,57.2
5130,7,10,1842.0,1,10,9,1,0,12.0
5131,5,10,863.0,0,10,9,1,0,22.0
5132,21,6,3708.0,0,18,17,9,0,48.6
5133,0,6,142.0,1,12,11,2,0,17.4
5134,0,6,47.0,1,13,12,1,0,12.6
5135,0,6,28.0,1,11,10,1,0,12.2
5136,0,6,149.0,0,11,10,1,1,7.2
5137,0,6,4.0,0,8,7,1,0,6.6
5138,0,5,387.0,0,23,22,3,0,199.6
5139,0,5,179.0,0,7,6,1,0,6.4
5140,0,5,110.0,0,18,17,1,0,8.6
5141,0,5,145.0,1,17,16,1,0,13.4
5142,0,5,148.0,0,17,16,1,0,23.4
5143,0,3,384.0,0,12,11,6,0,47.4
5144,0,3,31.0,0,12,11,1,0,22.4
5145,0,3,281.0,0,7,6,1,0,6.4
5146,8,1,8214.0,0,19,18,8,0,43.8
5147,0,1,9920.0,0,10,9,3,0,17.0
5148,0,1,12666.0,0,15,14,8,0,43.0
5149,0,1,4290.0,0,8,7,10,0,51.6
5150,0,1,6020.0,0,9,8,4,0,21.8
5151,0,1,2325.0,0,8,7,5,0,26.6
5152,0,1,9825.0,0,14,13,4,0,22.8
5153,0,1,16101.0,0,10,9,3,0,62.0
5154,0,1,2739.0,0,10,9,2,0,12.0
5155,0,6,1178.0,0,15,14,4,0,83.0
5156,0,6,507.0,0,6,5,1,0,6.2
5157,0,6,80.0,1,5,4,1,0,11.0
5158,0,6,269.0,1,5,4,1,0,26.0
5159,0,6,14.0,1,5,4,1,0,11.0
5160,0,6,103.0,0,5,4,1,0,21.0
5161,0,4,2701.0,0,16,15,7,0,38.2
5162,0,4,,0,14,13,1,0,7.8
5163,0,4,479.0,0,14,13,1,0,7.8
5164,0,4,1336.0,0,12,11,1,0,67.4
5165,0,3,1417.0,1,16,15,5,0,78.2
5166,0,3,307.0,1,6,5,1,1,11.2
5167,0,3,1457.0,0,6,5,1,0,96.2
5168,0,1,9116.0,0,11,10,7,0,127.2
5169,8,4,1614.0,1,21,20,7,0,119.2
5170,0,4,56.0,1,17,16,1,0,13.4
5171,4,4,820.0,0,15,14,1,1,38.0
5172,0,4,395.0,0,13,12,1,1,7.6
5173,0,1,681.0,0,7,6,4,0,21.4
5174,0,1,2918.0,0,8,7,3,0,16.6
5175,0,5,4419.0,0,13,12,268,0,1342.6
5176,0,5,586.0,1,12,11,0,0,22.4
5177,0,5,1053.0,0,9,8,0,0,1.8
5178,0,5,1049.0,1,10,9,0,0,7.0
5179,0,5,355.0,0,9,8,1,0,21.8
5180,0,1,1802.0,0,9,8,6,0,33.8
5181,1,12,7695.0,0,26,25,9,0,97.2
5182,0,12,1172.0,1,24,23,0,0,9.8
5183,0,12,616.0,0,24,23,0,0,4.8
5184,0,12,1444.0,1,23,22,0,0,9.6
5185,0,12,502.0,1,19,18,1,0,13.8
5186,0,12,470.0,0,21,20,0,0,49.2
5187,0,12,1210.0,1,20,19,0,0,9.0
5188,0,12,1053.0,0,19,18,0,0,48.8
5189,0,12,926.0,1,18,17,0,0,53.6
5190,0,12,1168.0,0,15,14,0,0,48.0
5191,0,12,1034.0,0,15,14,0,0,48.0
5192,0,12,126.0,0,14,13,1,0,7.8
5193,0,15,8474.0,0,31,30,77,0,541.2
5194,0,15,183.0,0,24,23,1,0,9.8
5195,0,15,893.0,1,24,23,0,0,9.8
5196,0,15,758.0,1,22,21,0,0,69.4
5197,0,15,76.0,0,21,20,0,0,4.2
5198,0,15,190.0,1,22,21,0,0,9.4
5199,0,15,1438.0,0,19,18,0,0,3.8
5200,0,15,456.0,1,18,17,0,0,23.6
5201,0,15,214.0,1,18,17,1,0,13.6
5202,0,15,195.0,0,15,14,1,0,8.0
5203,0,15,726.0,0,14,13,1,0,7.8
5204,0,15,172.0,0,13,12,1,0,7.6
5205,0,15,1078.0,1,11,10,0,0,7.2
5206,0,15,290.0,0,10,9,1,0,7.0
5207,0,15,747.0,0,9,8,1,0,6.8
5208,0,12,10824.0,1,20,19,120,0,909.0
5209,0,12,168.0,1,19,18,0,0,68.8
5210,0,12,79.0,0,19,18,3,0,48.8
5211,0,12,2127.0,1,19,18,0,0,83.8
5212,0,12,315.0,0,16,15,1,0,68.2
5213,0,12,954.0,1,14,13,1,1,57.8
5214,0,12,1937.0,0,13,12,4,1,82.6
5215,0,12,2198.0,2,11,10,0,1,57.2
5216,0,12,79.0,0,10,9,0,0,2.0
5217,0,12,740.0,1,10,9,0,0,52.0
5218,0,12,514.0,0,10,9,0,1,92.0
5219,0,12,458.0,0,7,6,1,0,6.4
5220,0,33,1299.0,0,29,28,58,0,295.8
5221,0,33,651.0,1,27,26,0,0,10.4
5222,0,33,148.0,0,25,24,0,0,5.0
5223,0,33,1259.0,0,24,23,1,0,9.8
5224,0,33,140.0,3,22,21,0,0,19.4
5225,0,33,1279.0,0,22,21,0,0,4.4
5226,0,33,2034.0,0,22,21,0,0,4.4
5227,0,33,2914.0,0,21,20,1,0,54.2
5228,0,33,53.0,0,21,20,0,0,4.2
5229,0,33,1437.0,3,20,19,1,0,24.0
5230,0,33,168.0,0,18,17,0,0,3.6
5231,0,33,835.0,2,18,17,0,0,13.6
5232,0,33,460.0,1,19,18,0,0,8.8
5233,0,33,1237.0,0,18,17,0,0,3.6
5234,0,33,1504.0,1,19,18,1,0,13.8
5235,0,33,125.0,0,17,16,0,0,18.4
5236,0,33,3619.0,1,16,15,0,0,23.2
5237,0,33,1221.0,0,17,16,0,0,3.4
5238,0,33,588.0,1,18,17,4,0,28.6
5239,0,33,472.0,1,18,17,0,0,8.6
5240,0,33,173.0,2,14,13,1,0,17.8
5241,0,33,95.0,0,13,12,0,0,17.6
5242,0,33,702.0,0,12,11,0,0,17.4
5243,0,33,606.0,2,11,10,0,0,12.2
5244,0,33,627.0,1,11,10,0,0,7.2
5245,0,33,1504.0,1,12,11,0,0,67.4
5246,0,33,1026.0,2,12,11,1,0,17.4
5247,0,33,133.0,1,12,11,1,0,12.4
5248,0,33,2997.0,0,12,11,1,0,52.4
5249,0,33,206.0,1,12,11,0,0,7.4
5250,0,33,778.0,1,13,12,1,0,12.6
5251,0,33,507.0,0,13,12,1,0,7.6
5252,0,33,73.0,0,11,10,1,0,22.2
5253,0,5,1607.0,0,16,15,7,0,143.2
5254,0,5,111.0,1,16,15,1,0,13.2
5255,0,5,532.0,0,14,13,1,0,97.8
5256,0,5,328.0,1,14,13,1,0,27.8
5257,0,5,257.0,0,12,11,1,0,52.4
5258,0,3,1177.0,1,13,12,3,0,127.6
5259,0,3,385.0,1,12,11,1,1,57.4
5260,0,3,84.0,0,10,9,1,0,7.0
5261,0,11,1149.0,0,23,22,6,0,109.6
5262,0,11,198.0,0,21,20,0,0,19.2
5263,0,11,123.0,1,20,19,0,0,24.0
5264,0,11,1461.0,1,19,18,0,0,128.8
5265,0,11,885.0,1,17,16,0,0,8.4
5266,0,11,217.0,0,16,15,0,0,3.2
5267,0,11,1054.0,0,16,15,0,0,63.2
5268,0,11,450.0,0,17,16,0,0,3.4
5269,0,11,692.0,1,12,11,1,0,12.4
5270,0,11,176.0,0,12,11,1,0,7.4
5271,0,11,101.0,0,10,9,1,0,7.0
5272,0,1,1368.0,0,14,13,7,0,52.8
5273,0,1,1760.0,0,13,12,8,0,42.6
5274,0,1,1858.0,0,14,13,3,0,17.8
5275,0,1,2288.0,0,17,16,3,0,18.4
5276,0,1,746.0,0,10,9,2,0,12.0
5277,0,1,3439.0,0,11,10,3,0,17.2
5278,0,1,971.0,0,11,10,5,0,27.2
5279,0,1,606.0,0,10,9,4,0,22.0
5280,0,5,1080.0,0,18,17,1,0,113.6
5281,0,5,15.0,0,17,16,0,0,3.4
5282,0,5,275.0,1,16,15,0,0,53.2
5283,0,5,567.0,0,9,8,0,0,1.8
5284,0,5,316.0,0,5,4,2,0,11.0
5285,0,1,1525.0,0,9,8,6,0,31.8
5286,0,1,1907.0,0,12,11,7,0,37.4
5287,0,9,790.0,0,21,20,4,0,114.2
5288,0,9,52.0,0,21,20,1,0,9.2
5289,0,9,189.0,1,18,17,1,0,13.6
5290,0,9,255.0,0,15,14,0,0,63.0
5291,0,9,148.0,0,14,13,0,0,2.8
5292,0,9,370.0,2,14,13,0,0,42.8
5293,0,9,34.0,0,13,12,0,0,2.6
5294,0,9,116.0,0,12,11,0,0,2.4
5295,0,9,255.0,0,8,7,1,0,6.6
5296,20,11,5719.0,0,22,21,11,0,61.4
5297,4,11,863.0,0,19,18,0,0,3.8
5298,0,11,973.0,0,19,18,1,0,8.8
5299,0,11,1905.0,1,14,13,2,0,17.8
5300,0,11,583.0,1,10,9,0,0,52.0
5301,0,11,733.0,0,11,10,2,0,27.2
5302,0,11,1885.0,1,10,9,1,0,12.0
5303,0,11,928.0,1,9,8,0,0,51.8
5304,0,11,414.0,1,9,8,0,0,6.8
5305,0,11,186.0,0,8,7,0,0,1.6
5306,0,11,237.0,0,8,7,0,0,1.6
5307,17,14,5970.0,0,13,12,12,0,167.6
5308,0,14,181.0,0,9,8,0,0,1.8
5309,3,14,913.0,0,11,10,0,0,2.2
5310,4,14,1357.0,0,10,9,0,0,2.0
5311,1,14,544.0,0,8,7,0,0,1.6
5312,2,14,952.0,1,7,6,0,0,6.4
5313,3,14,959.0,0,6,5,0,0,1.2
5314,2,14,433.0,1,7,6,0,0,6.4
5315,2,14,684.0,0,6,5,0,0,1.2
5316,3,14,531.0,0,6,5,0,0,1.2
5317,4,14,1158.0,0,7,6,0,0,1.4
5318,2,14,1363.0,0,8,7,0,0,1.6
5319,0,14,47.0,0,8,7,0,0,1.6
5320,0,14,87.0,0,6,5,0,0,1.2
5321,0,2,3096.0,0,10,9,4,0,67.0
5322,0,2,1011.0,0,8,7,0,0,1.6
5323,0,7,3859.0,0,13,12,42,0,377.6
5324,0,7,77.0,0,10,9,0,0,32.0
5325,0,7,412.0,1,9,8,17,0,106.8
5326,0,7,275.0,1,7,6,0,0,36.4
5327,0,7,511.0,0,5,4,0,0,16.0
5328,0,7,432.0,0,5,4,0,0,16.0
5329,0,7,3096.0,0,4,3,40,0,200.8
5330,0,4,3844.0,0,18,17,2,0,193.6
5331,0,4,450.0,0,13,12,1,0,37.6
5332,0,4,435.0,0,11,10,1,0,22.2
5333,0,4,34.0,0,9,8,1,0,6.8
5334,0,32,3407.0,0,59,58,35,0,306.8
5335,0,32,752.0,2,51,50,0,0,35.2
5336,0,32,302.0,0,49,48,5,0,49.8
5337,0,32,1347.0,1,44,43,1,0,18.8
5338,0,32,549.0,1,38,37,2,0,22.6
5339,0,32,419.0,0,35,34,0,0,7.0
5340,0,32,403.0,1,32,31,0,0,11.4
5341,0,32,81.0,1,31,30,0,0,101.2
5342,0,32,290.0,1,29,28,0,0,55.8
5343,0,32,329.0,0,28,27,0,0,5.6
5344,0,32,326.0,0,25,24,3,0,20.0
5345,0,32,141.0,0,25,24,0,0,5.0
5346,0,32,685.0,1,20,19,1,0,29.0
5347,0,32,111.0,0,17,16,0,0,18.4
5348,0,32,299.0,1,15,14,0,0,98.0
5349,0,32,848.0,0,17,16,2,0,13.4
5350,0,32,282.0,1,18,17,0,0,8.6
5351,0,32,1038.0,1,17,16,1,0,58.4
5352,0,32,271.0,1,17,16,0,0,8.4
5353,0,32,91.0,1,16,15,0,0,8.2
5354,0,32,25.0,1,16,15,0,0,8.2
5355,0,32,50.0,1,16,15,0,0,8.2
5356,0,32,189.0,0,15,14,0,0,3.0
5357,0,32,89.0,1,15,14,0,0,8.0
5358,0,32,129.0,1,14,13,0,0,7.8
5359,0,32,190.0,1,14,13,0,0,7.8
