,annotations,posts_in_topic,char_count,reply_count,reads,readers_count,incoming_link_count,quote_count,score,source_username,source_username
4916,4,20,1173.0,0,14,13,1,0,7.8,anon2302785458,anon2302785458
4917,7,20,1448.0,0,13,12,0,0,2.6,anon2345861335,anon2345861335
4918,2,20,1363.0,1,13,12,0,0,7.6,anon1153164319,anon1153164319
4919,0,20,454.0,0,10,9,0,0,2.0,anon360117346,anon360117346
4920,12,20,4045.0,0,11,10,0,0,2.2,anon2345861335,anon2345861335
4921,1,20,895.0,1,10,9,0,0,7.0,anon1153164319,anon1153164319
4922,0,20,1210.0,1,11,10,0,0,7.2,anon2345861335,anon2345861335
4923,0,20,610.0,1,10,9,0,0,7.0,anon1153164319,anon1153164319
4924,0,20,527.0,1,9,8,0,0,51.8,anon2345861335,anon2345861335
4925,0,20,87.0,1,10,9,0,0,7.0,anon2302785458,anon2302785458
4926,0,20,288.0,0,10,9,0,0,47.0,anon1153164319,anon1153164319
4927,0,20,225.0,0,9,8,0,0,46.8,anon2345861335,anon2345861335
4928,0,20,1006.0,2,11,10,1,0,32.2,anon1854351544,anon1854351544
4929,0,20,966.0,0,11,10,0,0,2.2,anon2345861335,anon2345861335
4930,0,20,6.0,0,8,7,1,0,21.6,anon2975761471,anon2975761471
4931,0,20,499.0,0,8,7,2,0,11.6,anon360117346,anon360117346
4932,0,18,258.0,1,37,36,11,0,262.4,anon4196090195,anon4196090195
4933,0,18,221.0,1,35,34,2,0,202.0,anon4196090195,anon4196090195
4934,0,18,132.0,0,18,17,2,0,28.6,anon241219415,anon241219415
4935,0,18,792.0,0,18,17,1,0,8.6,anon241219415,anon241219415
4936,0,18,5377.0,2,17,16,134,0,803.4,anon4196090195,anon4196090195
4937,0,18,274.0,0,14,13,1,0,7.8,anon4196090195,anon4196090195
4938,0,18,704.0,1,13,12,1,0,27.6,anon2302785458,anon2302785458
4939,0,18,230.0,0,12,11,1,0,7.4,anon4196090195,anon4196090195
4940,0,18,515.0,1,11,10,1,0,12.2,anon241219415,anon241219415
4941,0,18,5571.0,2,11,10,1,0,77.2,anon4196090195,anon4196090195
4942,0,18,161.0,1,11,10,1,0,27.2,anon2302785458,anon2302785458
4943,0,18,277.0,1,10,9,1,0,12.0,anon241219415,anon241219415
4944,0,18,840.0,0,8,7,1,0,6.6,anon4196090195,anon4196090195
4945,0,18,62.0,1,6,5,1,0,56.2,anon4196090195,anon4196090195
4946,0,18,622.0,1,6,5,1,0,11.2,anon2302785458,anon2302785458
4947,0,18,1596.0,1,6,5,1,0,56.2,anon4196090195,anon4196090195
4948,0,18,365.0,0,6,5,1,0,51.2,anon2302785458,anon2302785458
4949,0,18,300.0,0,6,5,1,0,96.2,anon4196090195,anon4196090195
4950,9,4,8866.0,0,13,12,18,0,167.4,anon797389185,anon797389185
4951,2,4,555.0,0,10,9,0,0,1.8,anon3103495327,anon3103495327
4952,1,4,426.0,1,10,9,0,0,7.0,anon241219415,anon241219415
4953,2,4,1071.0,0,8,7,1,0,96.6,anon3103495327,anon3103495327
4954,1,1,1389.0,0,3,2,3,0,15.6,anon797389185,anon797389185
4955,0,1,7330.0,0,4,3,4,0,20.8,anon360117346,anon360117346
4956,0,1,5915.0,0,2,1,2,0,10.4,anon797389185,anon797389185
4957,0,1,2063.0,0,4,3,2,0,10.8,anon797389185,anon797389185
4958,0,1,6.0,0,2,1,2,0,10.4,anon429854797,anon429854797
4959,0,1,277.0,0,2,1,2,0,10.4,anon241219415,anon241219415
4960,0,1,1972.0,0,2,1,4,0,20.4,anon360117346,anon360117346
4961,0,1,880.0,0,2,1,2,0,10.4,anon360117346,anon360117346
4962,0,1,552.0,0,6,5,2,0,11.2,anon3585693540,anon3585693540
4963,4,1,4359.0,0,2,1,14,0,70.4,anon2038012465,anon2038012465
4964,2,1,2071.0,0,3,2,2,0,10.6,anon2038012465,anon2038012465
4965,3,1,1402.0,0,5,4,10,0,51.0,anon2002870540,anon2002870540
4966,3,1,1725.0,0,2,1,4,0,20.4,anon2002870540,anon2002870540
4967,2,1,2074.0,0,3,2,44,0,220.6,anon2002870540,anon2002870540
4968,4,1,2109.0,0,2,1,4,0,20.4,anon2002870540,anon2002870540
4969,3,1,1278.0,0,3,2,10,0,50.6,,
4970,0,1,2467.0,0,3,2,6,0,30.6,anon2896047603,anon2896047603
4971,0,1,2413.0,0,3,2,2,0,10.6,anon2302785458,anon2302785458
4972,0,1,5091.0,0,5,4,7,0,36.0,anon241219415,anon241219415
4973,0,1,3541.0,0,12,11,18,0,92.4,anon2302785458,anon2302785458
4974,11,1,3125.0,0,7,6,20,0,101.4,anon301681739,anon301681739
4975,5,1,4617.0,0,6,5,10,0,51.2,anon2975761471,anon2975761471
4976,0,1,4070.0,0,4,3,3,0,15.8,anon1648820241,anon1648820241
4977,0,1,3988.0,0,4,3,6,0,30.8,anon3839741422,anon3839741422
4978,0,1,4024.0,0,5,4,4,0,21.0,anon1883948460,anon1883948460
4979,0,1,8317.0,0,9,8,16,0,81.8,anon797389185,anon797389185
4980,0,1,28167.0,0,3,2,4,0,20.6,anon797389185,anon797389185
4981,0,6,3663.0,0,3,2,4,0,20.6,anon360117346,anon360117346
4982,0,6,666.0,0,1,0,0,0,0.2,anon797389185,anon797389185
4983,0,6,620.0,0,2,1,0,0,0.4,anon797389185,anon797389185
4984,0,6,1586.0,1,2,1,0,0,5.4,anon797389185,anon797389185
4985,0,6,418.0,0,3,2,0,0,0.6,anon360117346,anon360117346
4986,0,6,4612.0,0,3,2,1,0,5.6,anon360117346,anon360117346
4987,0,1,3328.0,0,9,8,6,0,31.8,anon3930167313,anon3930167313
4988,2,8,424.0,1,25,24,5,0,140.0,anon2160436067,anon2160436067
4989,0,8,777.0,1,24,23,0,0,9.8,anon797389185,anon797389185
4990,1,8,610.0,0,18,17,0,0,3.6,anon2302785458,anon2302785458
4991,0,8,198.0,0,18,17,0,0,3.6,anon2160436067,anon2160436067
4992,0,8,101.0,0,18,17,0,0,3.6,anon2160436067,anon2160436067
4993,0,8,190.0,1,17,16,0,1,8.4,anon1478183543,anon1478183543
4994,0,8,331.0,1,17,16,0,0,23.4,anon2160436067,anon2160436067
4995,0,8,573.0,0,15,14,0,0,3.0,anon360117346,anon360117346
4996,6,3,2790.0,0,16,15,7,0,53.2,anon2975761471,anon2975761471
4997,0,3,821.0,0,16,15,0,0,3.2,anon360117346,anon360117346
4998,0,3,201.0,0,13,12,0,0,2.6,anon2975761471,anon2975761471
4999,0,4,933.0,0,8,7,4,0,21.6,anon2586334387,anon2586334387
5000,0,4,2387.0,0,9,8,0,0,1.8,anon241219415,anon241219415
5001,0,4,1188.0,0,7,6,0,0,1.4,anon360117346,anon360117346
5002,0,4,416.0,0,7,6,2,0,11.4,anon1615768681,anon1615768681
5003,19,8,9551.0,0,6,5,20,0,101.2,anon3994349583,anon3994349583
5004,2,8,611.0,1,4,3,1,0,10.8,anon360117346,anon360117346
5005,3,8,308.0,0,4,3,1,0,5.8,anon3994349583,anon3994349583
5006,2,8,868.0,0,3,2,0,0,0.6,anon241219415,anon241219415
5007,2,8,780.0,1,3,2,0,0,5.6,anon3994349583,anon3994349583
5008,1,8,653.0,1,2,1,0,0,5.4,anon241219415,anon241219415
5009,3,8,1498.0,0,2,1,0,0,0.4,anon360117346,anon360117346
5010,9,8,1844.0,0,2,1,3,0,15.4,anon4138993108,anon4138993108
5011,0,17,899.0,0,5,4,3,0,16.0,anon241219415,anon241219415
5012,0,17,25.0,0,5,4,0,0,1.0,anon241219415,anon241219415
5013,0,17,98.0,1,5,4,0,0,6.0,anon125867087,anon125867087
5014,0,17,64.0,0,5,4,0,0,1.0,anon241219415,anon241219415
5015,0,17,1109.0,2,5,4,3,0,26.0,anon1615768681,anon1615768681
5016,0,17,630.0,0,4,3,0,0,0.8,anon241219415,anon241219415
5017,0,17,54.0,0,2,1,0,0,0.4,anon241219415,anon241219415
5018,0,17,871.0,1,3,2,0,0,5.6,anon1615768681,anon1615768681
5019,0,17,385.0,2,2,1,0,0,10.4,anon1615768681,anon1615768681
5020,0,17,386.0,1,3,2,0,0,5.6,anon1615768681,anon1615768681
5021,0,17,216.0,0,3,2,0,0,0.6,anon360117346,anon360117346
5022,0,17,76.0,1,3,2,0,0,5.6,anon1615768681,anon1615768681
5023,0,17,244.0,0,2,1,0,0,0.4,anon1615768681,anon1615768681
5024,0,17,626.0,0,3,2,0,0,0.6,anon241219415,anon241219415
5025,0,17,843.0,2,3,2,0,0,10.6,anon1615768681,anon1615768681
5026,0,17,623.0,1,3,2,0,0,5.6,anon241219415,anon241219415
5027,0,17,1352.0,0,3,2,0,0,0.6,anon1615768681,anon1615768681
5028,36,20,5797.0,3,30,29,105,0,743.0,anon3941802446,anon3941802446
5029,2,20,633.0,1,27,26,1,0,120.4,anon2302785458,anon2302785458
5030,3,20,674.0,0,27,26,1,0,40.4,anon3941802446,anon3941802446
5031,3,20,1646.0,1,23,22,3,0,69.6,anon360117346,anon360117346
5032,4,20,1583.0,1,23,22,1,1,74.6,anon241219415,anon241219415
5033,13,20,3858.0,1,21,20,3,1,84.2,anon3941802446,anon3941802446
5034,7,20,637.0,1,21,20,1,1,74.2,anon3941802446,anon3941802446
5035,0,20,95.0,0,17,16,0,0,3.4,anon3103495327,anon3103495327
5036,4,20,2511.0,0,19,18,0,0,18.8,anon1042140873,anon1042140873
5037,0,20,121.0,0,18,17,0,1,18.6,anon1042140873,anon1042140873
5038,0,20,51.0,1,18,17,1,0,28.6,anon797389185,anon797389185
5039,6,20,1550.0,0,19,18,1,0,53.8,anon2921683176,anon2921683176
5040,8,20,1898.0,1,18,17,3,0,113.6,anon931447554,anon931447554
5041,2,20,1230.0,0,18,17,1,1,23.6,anon1478183543,anon1478183543
5042,3,20,670.0,1,18,17,1,0,163.6,anon2302785458,anon2302785458
5043,2,20,500.0,1,18,17,1,0,88.6,anon360117346,anon360117346
5044,2,20,247.0,0,18,17,1,0,113.6,anon3941802446,anon3941802446
5045,0,20,742.0,1,13,12,1,0,72.6,anon2941347649,anon2941347649
5046,0,20,113.0,0,12,11,3,0,17.4,anon3941802446,anon3941802446
5047,0,20,311.0,0,8,7,2,0,71.6,anon241219415,anon241219415
5048,0,4,4817.0,0,27,26,19,0,115.4,anon241219415,anon241219415
5049,0,4,675.0,1,11,10,2,0,62.2,anon2302785458,anon2302785458
5050,0,4,467.0,1,11,10,2,0,17.2,anon241219415,anon241219415
5051,0,4,426.0,0,10,9,1,0,7.0,anon2302785458,anon2302785458
5052,0,1,7733.0,0,30,29,10,0,71.0,anon797389185,anon797389185
5053,30,1,8135.0,0,99,98,727,0,3791.8,anon241219415,anon241219415
5054,0,6,674.0,0,15,14,5,0,133.0,anon1623833156,anon1623833156
5055,0,6,164.0,0,14,13,0,0,2.8,anon147599227,anon147599227
5056,0,6,313.0,0,14,13,0,0,2.8,anon241219415,anon241219415
5057,0,6,441.0,0,12,11,0,0,17.4,anon360117346,anon360117346
5058,0,6,121.0,0,6,5,1,0,6.2,anon3772852920,anon3772852920
5059,0,6,1899.0,0,3,2,1,0,5.6,anon1623833156,anon1623833156
5060,0,1,4653.0,0,4,3,3,0,15.8,anon360117346,anon360117346
5061,0,1,73.0,0,22,21,9,0,214.4,anon1037033864,anon1037033864
5062,0,22,7183.0,0,7,6,77,0,446.4,anon1930002283,anon1930002283
5063,0,22,662.0,1,4,3,0,0,5.8,anon797389185,anon797389185
5064,0,22,3151.0,1,3,2,0,0,5.6,anon1930002283,anon1930002283
5065,0,22,615.0,1,4,3,0,0,5.8,anon360117346,anon360117346
5066,0,22,216.0,0,3,2,0,0,0.6,anon1930002283,anon1930002283
5067,0,22,1700.0,0,2,1,0,0,0.4,anon1930002283,anon1930002283
5068,0,22,50.0,0,3,2,0,0,0.6,anon750810289,anon750810289
5069,0,22,174.0,0,2,1,0,0,0.4,anon1930002283,anon1930002283
5070,0,22,734.0,1,3,2,0,0,5.6,anon3220617456,anon3220617456
5071,0,22,868.0,0,2,1,0,0,0.4,anon1930002283,anon1930002283
5072,0,22,581.0,0,2,1,0,0,0.4,anon1930002283,anon1930002283
5073,0,22,548.0,0,2,1,0,0,0.4,anon1930002283,anon1930002283
5074,0,22,820.0,1,3,2,0,0,5.6,anon360117346,anon360117346
5075,0,22,2350.0,1,2,1,1,0,10.4,anon1930002283,anon1930002283
5076,0,22,423.0,1,2,1,0,0,5.4,anon360117346,anon360117346
5077,0,22,28.0,1,1,0,0,0,5.2,anon1930002283,anon1930002283
5078,0,22,875.0,1,2,1,0,0,5.4,anon567906217,anon567906217
5079,0,22,410.0,1,1,0,0,0,5.2,anon1930002283,anon1930002283
5080,0,22,76.0,0,3,2,0,0,0.6,anon360117346,anon360117346
5081,0,22,7.0,0,2,1,0,0,0.4,anon1930002283,anon1930002283
5082,0,22,193.0,0,2,1,0,0,0.4,anon1930002283,anon1930002283
5083,0,22,271.0,0,2,1,7,0,35.4,anon1930002283,anon1930002283
5084,22,9,12234.0,1,14,13,5,0,47.8,anon567906217,anon567906217
5085,2,9,343.0,0,9,8,0,0,1.8,anon360117346,anon360117346
5086,3,9,487.0,0,8,7,0,0,1.6,anon567906217,anon567906217
5087,5,9,1292.0,0,8,7,0,0,1.6,anon241219415,anon241219415
5088,1,9,348.0,1,8,7,0,0,6.6,anon3860978068,anon3860978068
5089,1,9,320.0,1,8,7,0,0,6.6,anon241219415,anon241219415
5090,0,9,861.0,0,7,6,0,0,46.4,anon567906217,anon567906217
5091,0,9,516.0,1,5,4,2,1,16.0,anon241219415,anon241219415
5092,0,9,1377.0,0,4,3,1,0,50.8,anon567906217,anon567906217
5093,0,1,8660.0,0,8,7,2,0,11.6,anon797389185,anon797389185
5094,0,1,2217.0,0,5,4,3,0,16.0,anon360117346,anon360117346
5095,44,9,7276.0,0,40,39,39,0,308.0,anon567906217,anon567906217
5096,2,9,404.0,1,22,21,2,0,19.4,anon797389185,anon797389185
5097,1,9,396.0,1,22,21,1,0,14.4,anon567906217,anon567906217
5098,0,9,52.0,0,22,21,1,0,9.4,anon797389185,anon797389185
5099,5,9,469.0,2,19,18,1,0,18.8,anon241219415,anon241219415
5100,9,9,1957.0,1,19,18,3,0,23.8,anon567906217,anon567906217
5101,0,9,32.0,0,18,17,2,0,13.6,anon241219415,anon241219415
5102,1,9,248.0,0,18,17,2,0,13.6,anon360117346,anon360117346
5103,2,9,714.0,0,16,15,2,0,13.2,anon567906217,anon567906217
5104,19,14,7058.0,1,47,46,983,0,5216.4,anon360117346,anon360117346
5105,4,14,2135.0,2,35,34,3,0,122.0,anon1152307989,anon1152307989
5106,0,14,723.0,1,32,31,0,0,11.4,anon360117346,anon360117346
5107,1,14,254.0,1,30,29,0,0,56.0,anon3640972711,anon3640972711
5108,0,14,74.0,0,29,28,1,0,10.8,anon1152307989,anon1152307989
5109,0,14,295.0,0,28,27,1,0,10.6,anon797389185,anon797389185
5110,3,14,1067.0,0,29,28,1,0,130.8,anon931447554,anon931447554
5111,2,14,928.0,0,28,27,2,1,60.6,anon1676343695,anon1676343695
5112,0,14,56.0,1,28,27,1,0,60.6,anon125867087,anon125867087
5113,0,14,83.0,0,24,23,0,0,49.8,anon360117346,anon360117346
5114,0,14,29.0,0,25,24,0,0,5.0,anon125867087,anon125867087
5115,0,14,158.0,1,24,23,1,0,14.8,anon797389185,anon797389185
5116,0,14,171.0,1,24,23,1,0,14.8,anon1152307989,anon1152307989
5117,0,14,146.0,0,25,24,2,0,15.0,anon797389185,anon797389185
5118,0,4,2943.0,2,14,13,7,0,272.8,anon2302785458,anon2302785458
5119,0,4,1477.0,0,14,13,6,1,122.8,anon241219415,anon241219415
5120,0,4,2204.0,1,9,8,4,1,116.8,anon1701558835,anon1701558835
5121,0,4,476.0,0,9,8,1,1,51.8,anon241219415,anon241219415
5122,0,10,2158.0,0,27,26,12,0,335.4,anon4196090195,anon4196090195
5123,0,10,787.0,2,16,15,2,0,23.2,anon360117346,anon360117346
5124,0,10,374.0,2,16,15,5,0,38.2,anon4196090195,anon4196090195
5125,0,10,236.0,0,14,13,1,0,7.8,anon360117346,anon360117346
5126,0,10,192.0,1,15,14,1,0,13.0,anon2302785458,anon2302785458
5127,0,10,1370.0,1,14,13,1,0,57.8,anon4196090195,anon4196090195
5128,0,10,337.0,0,13,12,1,0,22.6,anon2302785458,anon2302785458
5129,5,10,2508.0,1,11,10,1,0,57.2,anon4196090195,anon4196090195
5130,7,10,1842.0,1,10,9,1,0,12.0,anon1701558835,anon1701558835
5131,5,10,863.0,0,10,9,1,0,22.0,anon4196090195,anon4196090195
5132,21,6,3708.0,0,18,17,9,0,48.6,anon241219415,anon241219415
5133,0,6,142.0,1,12,11,2,0,17.4,anon241219415,anon241219415
5134,0,6,47.0,1,13,12,1,0,12.6,anon3179043676,anon3179043676
5135,0,6,28.0,1,11,10,1,0,12.2,anon3103495327,anon3103495327
5136,0,6,149.0,0,11,10,1,1,7.2,anon3103495327,anon3103495327
5137,0,6,4.0,0,8,7,1,0,6.6,anon3179043676,anon3179043676
5138,0,5,387.0,0,23,22,3,0,199.6,anon4196090195,anon4196090195
5139,0,5,179.0,0,7,6,1,0,6.4,anon241219415,anon241219415
5140,0,5,110.0,0,18,17,1,0,8.6,anon241219415,anon241219415
5141,0,5,145.0,1,17,16,1,0,13.4,anon4196090195,anon4196090195
5142,0,5,148.0,0,17,16,1,0,23.4,anon360117346,anon360117346
5143,0,3,384.0,0,12,11,6,0,47.4,anon642196329,anon642196329
5144,0,3,31.0,0,12,11,1,0,22.4,anon642196329,anon642196329
5145,0,3,281.0,0,7,6,1,0,6.4,anon3179043676,anon3179043676
5146,8,1,8214.0,0,19,18,8,0,43.8,anon3585693540,anon3585693540
5147,0,1,9920.0,0,10,9,3,0,17.0,anon3585693540,anon3585693540
5148,0,1,12666.0,0,15,14,8,0,43.0,anon3585693540,anon3585693540
5149,0,1,4290.0,0,8,7,10,0,51.6,anon3585693540,anon3585693540
5150,0,1,6020.0,0,9,8,4,0,21.8,anon3585693540,anon3585693540
5151,0,1,2325.0,0,8,7,5,0,26.6,anon3585693540,anon3585693540
5152,0,1,9825.0,0,14,13,4,0,22.8,anon3585693540,anon3585693540
5153,0,1,16101.0,0,10,9,3,0,62.0,anon3585693540,anon3585693540
5154,0,1,2739.0,0,10,9,2,0,12.0,anon3585693540,anon3585693540
5155,0,6,1178.0,0,15,14,4,0,83.0,anon4094544373,anon4094544373
5156,0,6,507.0,0,6,5,1,0,6.2,anon125867087,anon125867087
5157,0,6,80.0,1,5,4,1,0,11.0,anon4094544373,anon4094544373
5158,0,6,269.0,1,5,4,1,0,26.0,anon797389185,anon797389185
5159,0,6,14.0,1,5,4,1,0,11.0,anon4094544373,anon4094544373
5160,0,6,103.0,0,5,4,1,0,21.0,anon797389185,anon797389185
5161,0,4,2701.0,0,16,15,7,0,38.2,anon4110704040,anon4110704040
5162,0,4,,0,14,13,1,0,7.8,anon797389185,anon797389185
5163,0,4,479.0,0,14,13,1,0,7.8,anon241219415,anon241219415
5164,0,4,1336.0,0,12,11,1,0,67.4,anon125867087,anon125867087
5165,0,3,1417.0,1,16,15,5,0,78.2,anon4196090195,anon4196090195
5166,0,3,307.0,1,6,5,1,1,11.2,anon241219415,anon241219415
5167,0,3,1457.0,0,6,5,1,0,96.2,anon4196090195,anon4196090195
5168,0,1,9116.0,0,11,10,7,0,127.2,anon642196329,anon642196329
5169,8,4,1614.0,1,21,20,7,0,119.2,anon1377374136,anon1377374136
5170,0,4,56.0,1,17,16,1,0,13.4,anon559846904,anon559846904
5171,4,4,820.0,0,15,14,1,1,38.0,anon241219415,anon241219415
5172,0,4,395.0,0,13,12,1,1,7.6,anon3103495327,anon3103495327
5173,0,1,681.0,0,7,6,4,0,21.4,anon145376496,anon145376496
