post_number,post_id,created_at,topic_id,reply_count,reads,readers_count,incoming_link_count,quote_count,like_count,score,reply_to_post_id,source_username,target_username,text
12,79807,2020-06-30T21:50:55.988Z,13988,1,8,7,1,0,0,11.6,79675,anon848306435,anon1297315084,"Dear @anon1297315084, last week I was not able to do much coding while being exhausted from sitting at the state exams committees. (Somehow I though it would be much easier, and I will be more fit for coding.) Therefore, I would like to code this whole week, mainly on Thursday and **Friday** (2nd and **3rd July**) when I have time and my daughter is absent (she will be at her grandma's place) which leaves more mental and time capacities for the work. Would it be OK to postpone the deadline a bit (two days)?"
13,79811,2020-06-30T23:29:47.366Z,13988,1,8,7,1,1,0,11.6,79739,anon2338270226,anon3069268448,"[quote=""anon3069268448, post:10, topic:13988""]
am I doing something wrong?
[/quote]

Not at all. Just log out of Edgeryders, when you log in again your account syncs to the new photo you uploaded on communities. It's a necessary evil to have single sign-on for all communities in the Edgeryders galaxy."
14,79815,2020-07-01T08:07:47.177Z,13988,1,8,7,1,0,0,26.6,79811,anon3069268448,anon2338270226,Thank you!
15,79816,2020-07-01T08:49:20.109Z,13988,0,8,7,1,0,0,21.6,79815,anon2338270226,anon3069268448,.... and it works beautifully!
16,79851,2020-07-02T11:59:55.275Z,13988,1,9,8,1,0,0,11.8,79807,anon1297315084,anon848306435,"It seems everyone is running a bit behind, so let’s say that coding needs to be finished by the end of the day on the 6th. That gives us two full days to go through each other’s codebooks before we meet.

There is no purpose in us meeting if we have not reviewed each other’s codebooks, so please give an update on the 6th if this is not looking feasible for anyone and we will go from there. If this ends up being the case, let us know sooner rather than later so we can push back. 

@anon2688049416 @anon2635169776 @anon3069268448"
17,79854,2020-06-22T21:39:08.966Z,13988,0,4,3,1,0,0,20.8,79675,anon2635169776,anon1297315084,"@anon1297315084 @anon2688049416 @anon3650186192 @anon848306435 @anon3069268448 @anon1544472328 Dear All, as I wrote to Amelia earlier, anon3069268448ek and I had a really great “workshop” on Friday (June 19) to develop our method of work and code a bit. We have come up with three questions:

The mother-child code relationship. Say, we code “homosexuality” and it intersects in the coded fragment with the issue of “various approaches”. anon3069268448ek codes separately assuming that if we want to get the intersection the software will catch it and display. I code: mother: “homosexuality” and child: “homosexuality: various approaches.” What is your advice?

anon3069268448ek observed that if, say, he codes the whole entry with CODE1 and then codes a part of it with CODE2 and then wants to adde CODE3, say, to a word, he cannot do this. The system allows only two codes “on one bit of text”, it seems.

The most urgent issue: is it possible to duplicate a threat of a conversation, so we could code it on the platform separately (also inter-coder reliability) and only then to compare our codes and reconcile them? It is - we believe - a very useful exercise, at least the beginning, to compare and try to synchronize our coding “habits.”

Yours, anon2635169776"
18,79394,2020-06-23T08:51:15.374Z,13988,1,15,14,0,1,0,8.0,79675,anon1297315084,anon1297315084,"[quote=""anon2635169776, post:17, topic:13988""]
The most urgent issue: is it possible to duplicate a threat of a conversation, so we could code it on the platform separately (also inter-coder reliability) and only then to compare our codes and reconcile them? It is - we believe - a very useful exercise, at least the beginning, to compare and try to synchronize our coding “habits.”
[/quote]

If this is just an exercise, you can copy/paste the content and create a new thread of your own as a ""test"". I'd recommend @anon2635169776 being the test subject, since he assigns less codes, so it'll be easier to transpose them onto the original thread if you want to merge them. Does this work for you? 

[quote=""anon2635169776, post:17, topic:13988""]
The mother-child code relationship. Say, we code “homosexuality” and it intersects in the coded fragment with the issue of “various approaches”. anon3069268448ek codes separately assuming that if we want to get the intersection the software will catch it and display. I code: mother: “homosexuality” and child: “homosexuality: various approaches.” What is your advice?
[/quote]


Does @anon3069268448 create a hierarchy in the backend, or just co-code? If the latter, that's a good approach that would ideally be combined with yours as well. Yours works, but only if you assign parent-child codes that makes sense from an SSNA point of view. First, the top-level code will not auto-assign to the ones below it. @anon3755211520 and our team on a different project tried having this happen automatically, but it lead to a giant overproliferation of codes that rendered the SSNA meaningless. Second, ""various approaches"" is too vague on its own (to be honest, I don't think the code ""homosexuality:various approaches"" is very descriptive either, so ideally the ""lower level"" code would be a more specific thing (e.g. ""lesbian relationships""). 

The plan (as articulated in [this post](https://edgeryders.eu/t/merging-multilingual-codes/13700/36?u=anon1297315084), which you should both read carefully) with hierarchies is as follows: 

[quote=""anon1297315084, post:36, topic:13700""]
Wait to assign hierarchies / parent-child relations in the backend until we do this together as a batch after the SSNA visualisation, since our hierarchical relationships now affect each other. Do this as much as you want in your own codebook— this is encouraged (see point 2)
[/quote]
 
So, in short -- apply both top-level code and lower-level code if it applies, but be discerning. Use hierarchies in your own codebook, and we will then apply them together in the backend and use them to refine codes and apply top-level codes more widely if we need to -- it's very easy using the ""copy"" function in the backend to apply a top-level code to all instances of a lower-level code, but doing so automatically leads to too much vagueness/heavy co-occurrences on too high-level codes. If we do so more deliberately, in tandem with the SSNA creation, we get a more refined and accurate picture of the data. (as I describe this, @anon2338270226, this might be a methodological point for us to note).   

[quote=""anon2635169776, post:17, topic:13988""]
anon3069268448ek observed that if, say, he codes the whole entry with CODE1 and then codes a part of it with CODE2 and then wants to adde CODE3, say, to a word, he cannot do this. The system allows only two codes “on one bit of text”, it seems.
[/quote]

Just right click outside of the selection and you'll be able to add more codes than 2 (we've discussed this on multiple occasions in the POPREBEL team and I go over it in training, but perhaps we need a more centralised documentation to refresh memories as it's a lot of information to keep track of). 

@anon3650186192, feel free to check me on these answers :)"
19,79395,2020-06-23T08:53:51.540Z,13988,1,13,12,0,0,0,7.6,79394,anon1297315084,anon1297315084,"I have a call with @anon3069268448 on Wednesday or Thursday (time pending) that if you can also join, would be useful to have you. 

@anon"
20,79433,2020-06-23T21:03:52.938Z,13988,1,12,11,1,1,0,27.4,79395,anon3069268448,anon1297315084,"@anon1297315084 I'm fine with either Wednesday or Thursday, time of your choosing. 
As to ""various approaches"" and ""homosexuality: various approaches"" we were referring to our codebooks only. Neither I or @anon2635169776 build hierarchies in the backend. 
The question as I saw it, was more about how to highlight the relationships between various themes/codes/labels so that the system (which is at least partly automated as far as I understand, I mean the generation of the network and the graph) can see not only co-occurences, but also meaningful relationships between various codes. 
This particular example pertained to one respondent noting that people exhibit various attitudes towards homosexuality,and now I'm wondering if it's worth coding at all... :slight_smile: 
But let's take a different, perhaps better example: which is better in the codebook and in the codes on the platform: the code ""discrimination"" (with ""homosexuality"" as its parent code in the codebook - a choice that, to my mind, would look better on the graph) or ""homosexuality: discrimination"", provided that they pertain to the same fragments within the same single post? In our codebooks it probably doesn't matter that much, since if we take care to somehow show the hierarchical structure it should be fine to later reflect that in the backend. Am I correct?

[quote=""anon1297315084, post:18, topic:13988""]
If this is just an exercise, you can copy/paste the content and create a new thread of your own as a “test”. I’d recommend @anon2635169776 being the test subject, since he assigns less codes, so it’ll be easier to transpose them onto the original thread if you want to merge them
[/quote]
Great news!

As per the layers of coding, that is great news again! I probably won't use it much myself, but may come in handy.

Thank you for all your help!"
21,79442,2020-06-24T09:00:54.478Z,13988,2,10,9,1,1,0,32.0,79433,anon2338270226,anon3069268448,"[quote=""anon3069268448, post:20, topic:13988""]
But let’s take a different, perhaps better example: which is better in the codebook and in the codes on the platform: the code “discrimination” (with “homosexuality” as its parent code in the codebook - a choice that, to my mind, would look better on the graph) or “homosexuality: discrimination”, provided that they pertain to the same fragments within the same single post?
[/quote]


I am no ethnographer, but would argue that neither solution makes the most of our data model. 

1 . **Beware false hierarchies**. `Discrimination` is definitely not a child of `homosexuality`. Hierarchies are meant in a proper ontological sense: `cat` is a child of `mammal`, and `France` is a child of `Europe`. 
2. **Double codes are bad practice**. `homosexuality:discrimination` destroys the information that two *separate* experiences are mentioned in the same post. In SSNA, you are supposed to enter two separate codes, `homosexuality` and `discrimination`. The connection between the two is meant to be emergent: if (and only if) many posts mention both experiences, the semantic graph will show a strong connection. Formally, connections between experiences or concepts are represented by edges, not collapsed into nodes. 

The advantage of coding thus is large. Somewhere else in the conversation you could have `discrimination` associated to something else, say `age`. The ego network of `discrimination` will then show you the various aspects of discrimination in the corpus. With double coding, you have to fall back on human memory to rebuild it. ""Wait, did I not see discrimination elsewhere?"" With large corpora and several people coding, this problem becomes more severe. SSNA's main advantage is scalability, so it is essential to code for that. Your codes are no longer a memory aid for *you*, but a memory aid for the *collective effort* of several researchers plus a computer system. 

@anon1297315084, what's your take here?"
22,79454,2020-06-24T09:58:40.479Z,13988,1,10,9,1,0,0,12.0,79442,anon3069268448,anon2338270226,"Thank you, @anon2338270226!"
23,79455,2020-06-24T10:21:41.284Z,13988,0,10,9,1,0,0,37.0,79454,anon2338270226,anon3069268448,"My pleasure, @anon3069268448 . 

There is an additional point that I did not mention: turns out that rich posts are... rich, with 10-20 annotations. Picture them as points in the highly multidimensional space of human experience, for example a reported episode of workplace discrimination based on sexual orientation in Warsaw. You have two choices: 

* either collapse them into a n–multiple code, like `homosexuality:discrimination:workplace:large_cities:poland`
* or attribute each of the n codes separately. 

The latter solution will show up as an n-clique in the semantic graph, with all codes connected to each other. This is how the SSN knows that they all occurred together. You do not lose that information. At the same time you are protected from having to carry the logic of multiple codes to a rather silly conclusion. *And* you can reach the post from any of the codes: ""let's see what happens in the part of the convo that describes Poland"", or ""hmm, that about the LGBT+ community?""


SSNs are quite elegant objects, you see. As you get the knack of them, you will find yourself picturing drawing edges as you code: ""wow, I have seen `discrimination` a few posts back, but I don't think it ever co-occurred with `homosexuality` yet!"". That sort of stuff."
24,79463,2020-06-24T12:21:48.987Z,13988,0,10,9,1,0,0,37.0,79675,anon2338270226,anon1297315084,"Heads up, everyone: moving this out to the public workspace. There seems to be no reason for keeping it secret, in fact it is super-interesting methodological debate!"
25,79554,2020-06-25T11:16:32.260Z,13988,1,8,7,1,0,0,26.6,79442,anon1297315084,anon2338270226,"@anon2338270226 is right (you have learned well, young padawan.) @anon3069268448 and I just had a call to clarify.  

I'm making a wiki now so that we have a centralised list of coding conventions in POPREBEL (and in general, an updated centralised list of best practices for coding in SSNA). Will link when it's finished."
26,79560,2020-06-25T12:10:07.186Z,13988,1,8,7,1,1,0,26.6,79554,anon2338270226,anon1297315084,"[quote=""anon1297315084, post:25, topic:13988""]
I’m making a wiki
[/quote]


I was going to suggest that!"
27,79755,2020-06-30T08:41:34.537Z,13988,2,9,8,1,0,0,16.8,79560,anon3069268448,anon2338270226,"Hi! @anon1297315084 
Yesterday anon2635169776 and I had a meeting and we came up with a few questions.

1. Say, we have a code stigmatisation, an example of which may be labelling, and we encounter a text where a set of labels is listed. So a person mentions that people call her a feminazi, a dike, etc. Is it ok to code every label? I know we should rather avoid coding word-for-word, but some of them, like Polish ""pisior"" (a Law and Justice hardcore supportrer) wil keep popping up and we think are worth coding.

2. anon2635169776 came up with the idea to introduce the code constructing_common_identity with children such as: nation, religious community, Europeans, etc. I have already noticed the issues of common identity being raised here and there, people speaking of the need for finding, (re) building it, complaining of it being dismantled, so I think it might be worthwhile to have it.

3. Matters related to inclusion/exclusion dychotomy seem to play a central role in our investigations. Have you guys come across any mentions of these two? How do you code them?

4. We have a story about living libraries, and we'd like to code them under countering_exclusion -> learning/teaching pluralism -> living libraries. Does that sound ok?

5. anon2635169776 and I think that having two codes positive_sentiment and negative_sentiment to code for positive feelings/attitude and negative feelings/attitude towards something respectively might be of use. Do you code for emotions? Does it make sense at all to put these into backend (I have my doubts since their proliferation may distort the SSNA graphical output, yet they seem to be ethnographically valuable). Please advise.

6. Polishness is described using various labels (provincial, religious, tolerant, etc.). How can we code a phenomenon that is being defined by means of listing its characteristics. 

7. One last thing. When I put my codes in the backend they sometimes merge automatically with already pre-existing codes by other annotators, sometimes they don't (for example my homophobia, or country_comparison are now under Amelia's, while my code church stays separate). It's not a problem now, but may somehow make adding tranlsations more difficult. Will see. Just saying :slight_smile:

Ok, that's it for now. I'm getting back to coding, I have another meeting with anon2635169776 scheduled for today. I keep working on refining my codebook and writing definitions for the codes I decided to keep.

@anon

Have a great day, everybody!"
28,79794,2020-06-30T16:49:41.686Z,13988,0,9,8,1,0,0,6.8,79675,anon2635169776,anon1297315084,"@anon1297315084 and @anon3069268448 Can we, please, meet on Thursday? I am totally flexible, but to start planning: how about 15:00 in England (10:00 am here and 16:00 for anon3069268448ek)? We are making progress, but have questions (see also above --> anon3069268448ek's last entry).  anon2635169776"
29,79795,2020-06-30T17:01:37.394Z,13988,1,10,9,1,1,0,27.0,79755,anon1297315084,anon3069268448,"

[quote=""anon3069268448, post:27, topic:13988""]
y, we have a code stigmatisation, an example of which may be labelling, and we encounter a text where a set of labels is listed. So a person mentions that people call her a feminazi, a dike, etc. Is it ok to code every label? I know we should rather avoid coding word-for-word, but some of them, like Polish “pisior” (a Law and Justice hardcore supportrer) wil keep popping up and we think are worth coding.
[/quote]

I would code this, yes, and code it with double quotations to indicate that it is an invivo code (as is the convention we have agreed upon, see the wiki). I would assume this occurs in a sentence, so attach the code to the sentence and not just the word. 

[quote=""anon3069268448, post:27, topic:13988""]
anon2635169776 came up with the idea to introduce the code constructing_common_identity with children such as: nation, religious community, Europeans, etc. I have already noticed the issues of common identity being raised here and there, people speaking of the need for finding, (re) building it, complaining of it being dismantled, so I think it might be worthwhile to have it.
[/quote]

Use the code ""constructing common identity"" --  that is an excellent code. But it is not a parent code. Just code it along with the other codes, and it will appear as a co-occurrence in the graph. 

[quote=""anon3069268448, post:27, topic:13988""]
Matters related to inclusion/exclusion dychotomy seem to play a central role in our investigations. Have you guys come across any mentions of these two? How do you code them?
[/quote]

If you look at my codebook, I have quite a few codes around this concept. Take a look in the ""hierarchies"" tab and see if any work for you. And please leave a note if they are closely connected to any of yours. 

[quote=""anon3069268448, post:27, topic:13988""]
We have a story about living libraries, and we’d like to code them under countering_exclusion -> learning/teaching pluralism -> living libraries. Does that sound ok?
[/quote]

Your codes shouldn't have these underscores -- just use a space. Also, are the arrows supposed to be designating hierarchies? Don't use hierarchies, just code the content with each of those codes. Then you will get a co-occurrence emerging in the graph. And feel free to then use them as categories in your own codebook, which we can then discuss later (see the wiki on hierarchies). 

[quote=""anon3069268448, post:27, topic:13988""]
* anon2635169776 and I think that having two codes positive_sentiment and negative_sentiment to code for positive feelings/attitude and negative feelings/attitude towards something respectively might be of use. Do you code for emotions? Does it make sense at all to put these into backend (I have my doubts since their proliferation may distort the SSNA graphical output, yet they seem to be ethnographically valuable). Please advise.
[/quote]

If you look at my codebook, you can see that I have an entire category of codes with different emotions in them. If you are coding particular emotions that informants are expressing, feel free to use that emotion as a code. But ""positive"" and ""negative"" are too vague / non-semantic and don't belong in the SSNA. @anon3755211520 has a way of designating ""non-SSNA"" codes, but I'm not sure yet if we can implement it in POPREBEL. 

[quote=""anon3069268448, post:27, topic:13988""]
Polishness is described using various labels (provincial, religious, tolerant, etc.). How can we code a phenomenon that is being defined by means of listing its characteristics.
[/quote]
That's an analytical/interpretive question that you and anon2635169776 need to try to approach using the codes! I personally would create a code `'Polishness'` (using the single quotes to denote an informant concept, see the wiki) and then co-code with the other concept labels that appear (so, `provincial` or `religious` ). Then you'll end up with a nice co-occurrence network of all the concepts that your informants associate with `'Polishness'` 

I'm happy to meet with you and @anon2635169776, but you need to first engage properly with my codes and @anon2688049416's codes (by using the comment function, as described in the wiki), and read the wiki in detail, because this will answer a lot of your questions and give us more specifics to talk about. So if you can commit to doing this before Thursday, we can talk then. Otherwise, we can speak next week."
30,79796,2020-06-30T17:21:52.446Z,13988,1,9,8,1,0,0,41.8,79675,anon2635169776,anon1297315084,"@anon1297315084 and @anon3069268448 We got it. anon3069268448ek and I just finished talking. Here is our plan: the two of us will meet again on Thursday to further discuss  and coordinate Polish codes (after studying your wiki). On Saturday, we will meet to further discuss your codebook, the wiki, etc, and start coordinating the codes. Next week , we will be ready to meet with you and the rest of the team. **How about Thursday, July 9?** (Please accept our anon1492964592ogy for some slowdown and delay: anon3069268448ek is now on a short vacation with his family and I have tomorrow (Wednesday) the wedding of our son and on Sunday the whole family is going to the beach until Wednesday evening). J"
31,79802,2020-06-30T18:48:04.991Z,13988,0,8,7,1,0,0,36.6,79796,anon1297315084,anon2635169776,"That sounds great. @anon2688049416 and @anon848306435, can you make a call on the 9th? I’m flexible time-wise on that date at the moment."
32,79805,2020-06-30T19:44:07.522Z,13988,1,9,8,1,1,0,11.8,79795,anon3069268448,anon1297315084,"

[quote=""anon1297315084, post:29, topic:13988""]
I would code this, yes, and code it with double quotations to indicate that it is an invivo code (as is the convention we have agreed upon, see the wiki). I would assume this occurs in a sentence, so attach the code to the sentence and not just the word.
[/quote]
Hi, the thing is that a number of them occur in one sentence. I did not specify that, I'm sorry.

[quote=""anon1297315084, post:29, topic:13988""]
Use the code “constructing common identity” – that is an excellent code. But it is not a parent code. Just code it along with the other codes, and it will appear as a co-occurrence in the graph.
[/quote]
We were planning on using it in our codebooks. Is it ok?

[quote=""anon1297315084, post:29, topic:13988""]
If you look at my codebook, I have quite a few codes around this concept. Take a look in the “hierarchies” tab and see if any work for you. And please leave a note if they are closely connected to any of yours.
[/quote]
Will do, already started looking through it.

[quote=""anon1297315084, post:29, topic:13988""]
Your codes shouldn’t have these underscores – just use a space. Also, are the arrows supposed to be designating hierarchies? Don’t use hierarchies, just code the content with each of those codes. Then you will get a co-occurrence emerging in the graph. And feel free to then use them as categories in your own codebook, which we can then discuss later (see the wiki on hierarchies).
[/quote]
Yes, the arrows were supposed to present categories and again, just for the codebook. We remember not to create any in backend.

[quote=""anon1297315084, post:29, topic:13988""]
If you look at my codebook, you can see that I have an entire category of codes with different emotions in them. If you are coding particular emotions that informants are expressing, feel free to use that emotion as a code. But “positive” and “negative” are too vague / non-semantic and don’t belong in the SSNA. @anon3755211520 has a way of designating “non-SSNA” codes, but I’m not sure yet if we can implement it in POPREBEL.
[/quote]
Ok, will look for those!

[quote=""anon1297315084, post:29, topic:13988""]
That’s an analytical/interpretive question that you and anon2635169776 need to try to approach using the codes! I personally would create a code `'Polishness'` (using the single quotes to denote an informant concept, see the wiki) and then co-code with the other concept labels that appear (so, `provincial` or `religious` ). Then you’ll end up with a nice co-occurrence network of all the concepts that your informants associate with `'Polishness'`
[/quote]
In the backend, yes. But how would you present it in the codebook? These codes are not really members or examples of Polishness (these words have much broader meaning, obviously). Should they remain independent in our codebooks?
I anon1492964592ogize for my lack of precision on these matters. I should've specified at each instance whether I meant our codebook or backend."
33,79853,2020-07-02T12:02:46.681Z,13988,0,10,9,1,1,0,22.0,79805,anon1297315084,anon3069268448,"[quote=""anon3069268448, post:32, topic:13988""]
Hi, the thing is that a number of them occur in one sentence. I did not specify that, I’m sorry.
[/quote]

So code the same sentence with multiple codes. 

[quote=""anon3069268448, post:32, topic:13988""]
We were planning on using it in our codebooks. Is it ok?
[/quote]
I don't see why not. Check if others have used similar codes, then either choose to use theirs, or use yours and mark in their codebook that you think yours might be a better fit (or just mark the connection). 

[quote=""anon3069268448, post:32, topic:13988""]
n the backend, yes. But how would you present it in the codebook? These codes are not really members or examples of Polishness (these words have much broader meaning, obviously). Should they remain independent in our codebooks?
I anon1492964592ogize for my lack of precision on these matters. I should’ve specified at each instance whether I meant our codebook or backend.
[/quote]

Hierarchies in the backend and categories in the codebook should be thought of in the same way. Think of your codebook as a ""staging"" for the hierarchies you'd like to implement in the backend. So the same logic applies to both."
34,79857,2020-07-02T12:05:25.216Z,13988,2,9,8,1,1,0,31.8,79851,anon1297315084,anon1297315084,"[quote=""anon1297315084, post:16, topic:13988, full:true""]
It seems everyone is running a bit behind, so let’s say that coding needs to be finished by the end of the day on the 6th. That gives us two full days to go through each other’s codebooks before we meet.

There is no purpose in us meeting if we have not reviewed each other’s codebooks, so please give an update on the 6th if this is not looking feasible for anyone and we will go from there. If this ends up being the case, let us know sooner rather than later so we can push back.

@anon2688049416 @anon2635169776 @anon3069268448
[/quote]
@anon848306435 @anon1544472328 
 
Repeating this so everyone sees it. We will meet on the 9th if everyone is ready. If not, we will find another time the week after. Please update ASAP when you know if you'll complete the work on time (with quality -- if it's going to be low quality because you've rushed it, just say so and we will push back. Better to work with good data.)"
35,79865,2020-07-02T15:49:41.674Z,13988,0,9,8,1,0,0,21.8,79857,anon3069268448,anon1297315084,Roger that. Thank you for your help and patience :)
36,79895,2020-07-03T11:59:26.102Z,13988,4,9,8,1,0,0,41.8,79857,anon1297315084,anon1297315084,"Hi team -- based on some communication, I've decided to push back our meeting so everyone feels they have time to do their best work. 

With that taken into account, I propose the following: 

* Please finish coding and arranging your codes into categories by the end of next week (so, **Friday the 11th**). 
* Please finish reading and reviewing/commenting on codebooks (PARTICULARLY with an eye to merging codes that are the same or similar across codebooks) by the **15th of July**. You can and should be doing this work in parallel with the coding itself.

* Take the rest of the week (**til the 17th of July**) to resolve any low-hanging fruit -- easy merges, etc -- since everyone's codebooks should not be gaining new codes by then, and firm up your own edits based upon others' feedback as best you can. 

We will then plan to meet the **week of the 20th**, at which point I will have created the new SSNA visualisation. In that meeting we will:
* a) discuss and carry out more complex code merges we have noted 
* b) create hierarchies in the backend based upon the categories we have created in our own codebooks and
*  c) discuss the SSNA and what it means for future coding. 

The deadline for a writeup of your findings based upon our meeting and the visualisation is **August 1st**. 

Can everyone please verbally confirm that this works for them, and if not let us know why (e.g. if you will be on holiday the week of the 20th) so we can plan otherwise. This will be set in stone, no more pushbacks. 

@anon848306435 @anon2688049416 @anon3069268448 @anon2635169776 @anon1544472328"
37,80049,2020-07-07T13:08:32.951Z,13988,0,7,6,1,0,0,21.4,79895,anon848306435,anon1297315084,"Hello Amelia, hello all,

this works for me. And thank you for the postponement.

Best, Zdeněk"
38,80193,2020-07-09T11:41:41.446Z,13988,0,9,8,1,0,0,21.8,79895,anon2688049416,anon1297315084,"Hi Amelia,

for some reason, I received notifications on these messages only yesterday :-/, hence the missing answers from me. I confirm, we are just having a coding meeting with @anon848306435, so more codes are on the way as planned."
39,80202,2020-07-09T15:40:38.874Z,13988,1,9,8,1,0,0,26.8,79895,anon1297315084,anon1297315084,"Is everyone free Thursday July 23rd? I propose 9:30am for @anon2635169776 , 14:30 for @anon1297315084 and @anon1544472328, 15:30 for @anon2688049416 @anon848306435 and @anon3069268448.

Please like this post if this works for you. Otherwise, please propose another time!"
40,80203,2020-07-09T16:30:55.590Z,13988,1,9,8,1,0,0,11.8,80202,anon1544472328,anon1297315084,Could we push it back 30 minutes to 10.00/15.00/16.00? I have a REF meeting at 13.30 and they have a tendency to drag on.
41,80204,2020-07-09T17:07:53.924Z,13988,1,9,8,1,0,0,26.8,80203,anon1297315084,anon1544472328,Fine with me!
42,80205,2020-07-09T20:34:30.514Z,13988,0,9,8,1,0,0,6.8,80204,anon2688049416,anon1297315084,"that Thursday is unfortunately a bit limited for me, could we do it the same time a day before - Wednesday 22nd? Otherwise I am fully available on Monday and Tuesday as well during that week"
43,80206,2020-07-09T21:08:08.724Z,13988,1,9,8,1,0,0,11.8,79675,anon2635169776,anon1297315084,I can do this 10/15/16. In my calendar. I think anon3069268448ek is also available. But wiwe wait for Jirka?
44,80207,2020-07-09T21:09:12.210Z,13988,1,8,7,1,0,0,11.6,80206,anon2688049416,anon2635169776,"I cannot, unfortunately, suggested a day earlier above"
45,80213,2020-07-10T08:55:58.235Z,13988,3,8,7,1,0,0,36.6,80207,anon1297315084,anon2688049416,"Ok, 9:30/14:30/15:30 Wed 22 July — does this work for all? I have another meeting at 16 UK."
46,80248,2020-07-10T21:00:10.631Z,13988,0,9,8,1,0,0,6.8,80213,anon848306435,anon1297315084,"I am fine the whole week. Lea (my daughter) has a summer kindergarten, therefore, between 8:30 and 16:30 CET (15:30 GMT) would be ideal, since the kindergarten closes at 17:00. However, if needed, I can go to pick her up earlier, and have her at home (watching e.g. Harry Potter or Marry Poppins on tablet) during our the call."
